geo,year,immigrant_stock_value,g77_and_oecd_countries.x,income_groups.x,is--country.x,iso3166_1_alpha2.x,unicode_region_subtag.x,iso3166_1_alpha3.x,iso3166_1_numeric.x,iso3166_2.x,landlocked.x,latitude.x,longitude.x,main_religion_2008.x,country_name,un_state.x,world_4region.x,world_6region.x,emigrant_stock_value,g77_and_oecd_countries.y,income_groups.y,is--country.y,iso3166_1_alpha2.y,unicode_region_subtag.y,iso3166_1_alpha3.y,iso3166_1_numeric.y,iso3166_2.y,landlocked.y,latitude.y,longitude.y,main_religion_2008.y,un_state.y,world_4region.y,world_6region.y,net_migration
hrv,1995,674085,others,high_income,TRUE,HR,HR,HRV,191,NA,coastline,45.16667,15.5,christian,Croatia,TRUE,europe,europe_central_asia,735556,others,high_income,TRUE,HR,HR,HRV,191,NA,coastline,45.16667,15.5,christian,TRUE,europe,europe_central_asia,-61471
gib,1995,8381,others,NA,TRUE,GI,GI,GIB,292,NA,coastline,36.14474,-5.35257,christian,Gibraltar,FALSE,europe,europe_central_asia,10135,others,NA,TRUE,GI,GI,GIB,292,NA,coastline,36.14474,-5.35257,christian,FALSE,europe,europe_central_asia,-1754
grc,1995,857850,oecd,high_income,TRUE,GR,GR,GRC,300,NA,coastline,39,22,christian,Greece,TRUE,europe,europe_central_asia,1004521,oecd,high_income,TRUE,GR,GR,GRC,300,NA,coastline,39,22,christian,TRUE,europe,europe_central_asia,-146671
hos,1995,780,others,NA,TRUE,VA,VA,VAT,336,NA,landlocked,41.90236,12.45332,christian,Holy See,TRUE,europe,europe_central_asia,37,others,NA,TRUE,VA,VA,VAT,336,NA,landlocked,41.90236,12.45332,christian,TRUE,europe,europe_central_asia,743
ita,1995,1774954,oecd,high_income,TRUE,IT,IT,ITA,380,NA,coastline,42.83333,12.83333,christian,Italy,TRUE,europe,europe_central_asia,3207777,oecd,high_income,TRUE,IT,IT,ITA,380,NA,coastline,42.83333,12.83333,christian,TRUE,europe,europe_central_asia,-1432823
mlt,1995,17740,others,high_income,TRUE,MT,MT,MLT,470,NA,coastline,35.91667,14.43333,christian,Malta,TRUE,europe,europe_central_asia,109850,others,high_income,TRUE,MT,MT,MLT,470,NA,coastline,35.91667,14.43333,christian,TRUE,europe,europe_central_asia,-92110
mkd,1995,109343,others,upper_middle_income,TRUE,MK,MK,MKD,807,NA,landlocked,41.66667,21.75,christian,North Macedonia,TRUE,europe,europe_central_asia,492304,others,upper_middle_income,TRUE,MK,MK,MKD,807,NA,landlocked,41.66667,21.75,christian,TRUE,europe,europe_central_asia,-382961
prt,1995,532822,oecd,high_income,TRUE,PT,PT,PRT,620,NA,coastline,39.6945,-8.13057,christian,Portugal,TRUE,europe,europe_central_asia,1922320,oecd,high_income,TRUE,PT,PT,PRT,620,NA,coastline,39.6945,-8.13057,christian,TRUE,europe,europe_central_asia,-1389498
smr,1995,3659,others,high_income,TRUE,SM,SM,SMR,674,NA,landlocked,43.93667,12.44639,christian,San Marino,TRUE,europe,europe_central_asia,2460,others,high_income,TRUE,SM,SM,SMR,674,NA,landlocked,43.93667,12.44639,christian,TRUE,europe,europe_central_asia,1199
srb,1995,870980,others,upper_middle_income,TRUE,RS,RS,SRB,688,NA,landlocked,44.81892,20.45998,christian,Serbia,TRUE,europe,europe_central_asia,914112,others,upper_middle_income,TRUE,RS,RS,SRB,688,NA,landlocked,44.81892,20.45998,christian,TRUE,europe,europe_central_asia,-43132
svn,1995,174419,others,high_income,TRUE,SI,SI,SVN,705,NA,coastline,46.08333,15,christian,Slovenia,TRUE,europe,europe_central_asia,108668,others,high_income,TRUE,SI,SI,SVN,705,NA,coastline,46.08333,15,christian,TRUE,europe,europe_central_asia,65751
esp,1995,1020067,oecd,high_income,TRUE,ES,ES,ESP,724,NA,coastline,40,-4,christian,Spain,TRUE,europe,europe_central_asia,1362439,oecd,high_income,TRUE,ES,ES,ESP,724,NA,coastline,40,-4,christian,TRUE,europe,europe_central_asia,-342372
aut,1995,894893,oecd,high_income,TRUE,AT,AT,AUT,40,NA,landlocked,47.33333,13.33333,christian,Austria,TRUE,europe,europe_central_asia,490849,oecd,high_income,TRUE,AT,AT,AUT,40,NA,landlocked,47.33333,13.33333,christian,TRUE,europe,europe_central_asia,404044
bel,1995,1288003,oecd,high_income,TRUE,BE,BE,BEL,56,NA,coastline,50.75,4.5,christian,Belgium,TRUE,europe,europe_central_asia,376028,oecd,high_income,TRUE,BE,BE,BEL,56,NA,coastline,50.75,4.5,christian,TRUE,europe,europe_central_asia,911975
fra,1995,6087993,oecd,high_income,TRUE,FR,FR,FRA,250,NA,coastline,46,2,christian,France,TRUE,europe,europe_central_asia,1353418,oecd,high_income,TRUE,FR,FR,FRA,250,NA,coastline,46,2,christian,TRUE,europe,europe_central_asia,4734575
deu,1995,7464406,oecd,high_income,TRUE,DE,DE,DEU,276,NA,coastline,51.5,10.5,christian,Germany,TRUE,europe,europe_central_asia,3045354,oecd,high_income,TRUE,DE,DE,DEU,276,NA,coastline,51.5,10.5,christian,TRUE,europe,europe_central_asia,4419052
lie,1995,13311,others,high_income,TRUE,LI,LI,LIE,438,NA,landlocked,47.16667,9.53333,christian,Liechtenstein,TRUE,europe,europe_central_asia,3020,others,high_income,TRUE,LI,LI,LIE,438,NA,landlocked,47.16667,9.53333,christian,TRUE,europe,europe_central_asia,10291
lux,1995,126106,oecd,high_income,TRUE,LU,LU,LUX,442,NA,landlocked,49.61167,6.13,christian,Luxembourg,TRUE,europe,europe_central_asia,37909,oecd,high_income,TRUE,LU,LU,LUX,442,NA,landlocked,49.61167,6.13,christian,TRUE,europe,europe_central_asia,88197
mco,1995,21060,others,high_income,TRUE,MC,MC,MCO,492,NA,coastline,43.73333,7.41667,christian,Monaco,TRUE,europe,europe_central_asia,4790,others,high_income,TRUE,MC,MC,MCO,492,NA,coastline,43.73333,7.41667,christian,TRUE,europe,europe_central_asia,16270
nld,1995,1346164,oecd,high_income,TRUE,NL,NL,NLD,528,NA,coastline,52.25,5.75,christian,Netherlands,TRUE,europe,europe_central_asia,734149,oecd,high_income,TRUE,NL,NL,NLD,528,NA,coastline,52.25,5.75,christian,TRUE,europe,europe_central_asia,612015
che,1995,1478829,oecd,high_income,TRUE,CH,CH,CHE,756,NA,landlocked,47.00016,8.01427,christian,Switzerland,TRUE,europe,europe_central_asia,340103,oecd,high_income,TRUE,CH,CH,CHE,756,NA,landlocked,47.00016,8.01427,christian,TRUE,europe,europe_central_asia,1138726
bmu,1995,16676,others,high_income,TRUE,BM,BM,BMU,60,NA,coastline,32.2949,-64.78303,christian,Bermuda,FALSE,americas,america,42600,others,high_income,TRUE,BM,BM,BMU,60,NA,coastline,32.2949,-64.78303,christian,FALSE,americas,america,-25924
can,1995,4864778,oecd,high_income,TRUE,CA,CA,CAN,124,NA,coastline,60.10867,-113.64258,christian,Canada,TRUE,americas,america,1069031,oecd,high_income,TRUE,CA,CA,CAN,124,NA,coastline,60.10867,-113.64258,christian,TRUE,americas,america,3795747
grl,1995,7121,others,high_income,TRUE,GL,GL,GRL,304,NA,coastline,72,-40,christian,Greenland,FALSE,europe,europe_central_asia,11366,others,high_income,TRUE,GL,GL,GRL,304,NA,coastline,72,-40,christian,FALSE,europe,europe_central_asia,-4245
spm,1995,1320,others,NA,TRUE,PM,PM,SPM,666,NA,coastline,46.83333,-56.33333,christian,St.-Pierre-et-Miquelon,FALSE,americas,america,479,others,NA,TRUE,PM,PM,SPM,666,NA,coastline,46.83333,-56.33333,christian,FALSE,americas,america,841
usa,1995,28451053,oecd,high_income,TRUE,US,US,USA,840,NA,coastline,39.76,-98.5,christian,United States,TRUE,americas,america,1839745,oecd,high_income,TRUE,US,US,USA,840,NA,coastline,39.76,-98.5,christian,TRUE,americas,america,26611308
bdi,2000,125628,g77,low_income,TRUE,BI,BI,BDI,108,NA,landlocked,-3.5,30,christian,Burundi,TRUE,africa,sub_saharan_africa,758674,g77,low_income,TRUE,BI,BI,BDI,108,NA,landlocked,-3.5,30,christian,TRUE,africa,sub_saharan_africa,-633046
com,2000,13799,g77,low_income,TRUE,KM,KM,COM,174,NA,coastline,-12.23333,44.44553,muslim,Comoros,TRUE,africa,sub_saharan_africa,70503,g77,low_income,TRUE,KM,KM,COM,174,NA,coastline,-12.23333,44.44553,muslim,TRUE,africa,sub_saharan_africa,-56704
dji,2000,100507,g77,lower_middle_income,TRUE,DJ,DJ,DJI,262,NA,coastline,11.58901,43.14503,muslim,Djibouti,TRUE,africa,middle_east_north_africa,9055,g77,lower_middle_income,TRUE,DJ,DJ,DJI,262,NA,coastline,11.58901,43.14503,muslim,TRUE,africa,middle_east_north_africa,91452
eri,2000,12952,g77,low_income,TRUE,ER,ER,ERI,232,NA,coastline,15,39,muslim,Eritrea,TRUE,africa,sub_saharan_africa,511508,g77,low_income,TRUE,ER,ER,ERI,232,NA,coastline,15,39,muslim,TRUE,africa,sub_saharan_africa,-498556
eth,2000,611384,g77,low_income,TRUE,ET,ET,ETH,231,NA,coastline,9,39.5,christian,Ethiopia,TRUE,africa,sub_saharan_africa,445891,g77,low_income,TRUE,ET,ET,ETH,231,NA,coastline,9,39.5,christian,TRUE,africa,sub_saharan_africa,165493
ken,2000,707852,g77,low_income,TRUE,KE,KE,KEN,404,NA,coastline,1,38,christian,Kenya,TRUE,africa,sub_saharan_africa,317453,g77,low_income,TRUE,KE,KE,KEN,404,NA,coastline,1,38,christian,TRUE,africa,sub_saharan_africa,390399
mdg,2000,23541,g77,low_income,TRUE,MG,MG,MDG,450,NA,coastline,-20,47,NA,Madagascar,TRUE,africa,sub_saharan_africa,77098,g77,low_income,TRUE,MG,MG,MDG,450,NA,coastline,-20,47,NA,TRUE,africa,sub_saharan_africa,-53557
mwi,2000,232620,g77,low_income,TRUE,MW,MW,MWI,454,NA,landlocked,-13.5,34,christian,Malawi,TRUE,africa,sub_saharan_africa,186231,g77,low_income,TRUE,MW,MW,MWI,454,NA,landlocked,-13.5,34,christian,TRUE,africa,sub_saharan_africa,46389
mus,2000,15543,g77,upper_middle_income,TRUE,MU,MU,MUS,480,NA,coastline,-20.3,57.58333,NA,Mauritius,TRUE,africa,sub_saharan_africa,119005,g77,upper_middle_income,TRUE,MU,MU,MUS,480,NA,coastline,-20.3,57.58333,NA,TRUE,africa,sub_saharan_africa,-103462
myt,2000,45474,others,NA,TRUE,YT,YT,MYT,175,NA,coastline,-12.83333,45.16667,muslim,Mayotte,FALSE,africa,sub_saharan_africa,6215,others,NA,TRUE,YT,YT,MYT,175,NA,coastline,-12.83333,45.16667,muslim,FALSE,africa,sub_saharan_africa,39259
moz,2000,195702,g77,low_income,TRUE,MZ,MZ,MOZ,508,NA,coastline,-18.25,35,christian,Mozambique,TRUE,africa,sub_saharan_africa,644467,g77,low_income,TRUE,MZ,MZ,MOZ,508,NA,coastline,-18.25,35,christian,TRUE,africa,sub_saharan_africa,-448765
reu,2000,100678,others,NA,TRUE,RE,RE,REU,638,NA,coastline,-20.88231,55.4504,christian,Reunion,FALSE,africa,sub_saharan_africa,2362,others,NA,TRUE,RE,RE,REU,638,NA,coastline,-20.88231,55.4504,christian,FALSE,africa,sub_saharan_africa,98316
rwa,2000,347076,g77,low_income,TRUE,RW,RW,RWA,646,NA,landlocked,-2,30,christian,Rwanda,TRUE,africa,sub_saharan_africa,318203,g77,low_income,TRUE,RW,RW,RWA,646,NA,landlocked,-2,30,christian,TRUE,africa,sub_saharan_africa,28873
syc,2000,6574,g77,upper_middle_income,TRUE,SC,SC,SYC,690,NA,coastline,-4.58333,55.66667,christian,Seychelles,TRUE,africa,sub_saharan_africa,19244,g77,upper_middle_income,TRUE,SC,SC,SYC,690,NA,coastline,-4.58333,55.66667,christian,TRUE,africa,sub_saharan_africa,-12670
som,2000,20097,g77,low_income,TRUE,SO,SO,SOM,706,NA,coastline,6,48,muslim,Somalia,TRUE,africa,sub_saharan_africa,1006139,g77,low_income,TRUE,SO,SO,SOM,706,NA,coastline,6,48,muslim,TRUE,africa,sub_saharan_africa,-986042
uga,2000,584280,g77,low_income,TRUE,UG,UG,UGA,800,NA,landlocked,1.25,32.5,christian,Uganda,TRUE,africa,sub_saharan_africa,517778,g77,low_income,TRUE,UG,UG,UGA,800,NA,landlocked,1.25,32.5,christian,TRUE,africa,sub_saharan_africa,66502
tza,2000,949600,g77,low_income,TRUE,TZ,TZ,TZA,834,NA,coastline,-6,35,christian,Tanzania,TRUE,africa,sub_saharan_africa,215469,g77,low_income,TRUE,TZ,TZ,TZA,834,NA,coastline,-6,35,christian,TRUE,africa,sub_saharan_africa,734131
zmb,2000,343703,g77,lower_middle_income,TRUE,ZM,ZM,ZMB,894,NA,landlocked,-14.33333,28.5,christian,Zambia,TRUE,africa,sub_saharan_africa,160206,g77,lower_middle_income,TRUE,ZM,ZM,ZMB,894,NA,landlocked,-14.33333,28.5,christian,TRUE,africa,sub_saharan_africa,183497
zwe,2000,410109,g77,low_income,TRUE,ZW,ZW,ZWE,716,NA,landlocked,-19,29.75,christian,Zimbabwe,TRUE,africa,sub_saharan_africa,351996,g77,low_income,TRUE,ZW,ZW,ZWE,716,NA,landlocked,-19,29.75,christian,TRUE,africa,sub_saharan_africa,58113
ago,2000,46108,g77,upper_middle_income,TRUE,AO,AO,AGO,24,NA,coastline,-12.5,18.5,christian,Angola,TRUE,africa,sub_saharan_africa,913314,g77,upper_middle_income,TRUE,AO,AO,AGO,24,NA,coastline,-12.5,18.5,christian,TRUE,africa,sub_saharan_africa,-867206
cmr,2000,227242,g77,lower_middle_income,TRUE,CM,CM,CMR,120,NA,coastline,6,12.5,christian,Cameroon,TRUE,africa,sub_saharan_africa,164302,g77,lower_middle_income,TRUE,CM,CM,CMR,120,NA,coastline,6,12.5,christian,TRUE,africa,sub_saharan_africa,62940
caf,2000,123529,g77,low_income,TRUE,CF,CF,CAF,140,NA,landlocked,7,21,NA,Central African Republic,TRUE,africa,sub_saharan_africa,55418,g77,low_income,TRUE,CF,CF,CAF,140,NA,landlocked,7,21,NA,TRUE,africa,sub_saharan_africa,68111
tcd,2000,104825,g77,low_income,TRUE,TD,TD,TCD,148,NA,landlocked,15,19,muslim,Chad,TRUE,africa,sub_saharan_africa,206069,g77,low_income,TRUE,TD,TD,TCD,148,NA,landlocked,15,19,muslim,TRUE,africa,sub_saharan_africa,-101244
cog,2000,305880,g77,lower_middle_income,TRUE,CG,CG,COG,178,NA,coastline,-1,15.5,christian,"Congo, Rep.",TRUE,africa,sub_saharan_africa,135247,g77,lower_middle_income,TRUE,CG,CG,COG,178,NA,coastline,-1,15.5,christian,TRUE,africa,sub_saharan_africa,170633
cod,2000,744387,g77,low_income,TRUE,CD,CD,COD,180,NA,landlocked,-2.5,23.5,christian,"Congo, Dem. Rep.",TRUE,africa,sub_saharan_africa,862051,g77,low_income,TRUE,CD,CD,COD,180,NA,landlocked,-2.5,23.5,christian,TRUE,africa,sub_saharan_africa,-117664
gnq,2000,4517,g77,high_income,TRUE,GQ,GQ,GNQ,226,NA,coastline,1.7,10.5,christian,Equatorial Guinea,TRUE,africa,sub_saharan_africa,59932,g77,high_income,TRUE,GQ,GQ,GNQ,226,NA,coastline,1.7,10.5,christian,TRUE,africa,sub_saharan_africa,-55415
gab,2000,214431,g77,upper_middle_income,TRUE,GA,GA,GAB,266,NA,coastline,-1,11.75,christian,Gabon,TRUE,africa,sub_saharan_africa,18046,g77,upper_middle_income,TRUE,GA,GA,GAB,266,NA,coastline,-1,11.75,christian,TRUE,africa,sub_saharan_africa,196385
stp,2000,4365,g77,lower_middle_income,TRUE,ST,ST,STP,678,NA,coastline,1,7,christian,Sao Tome and Principe,TRUE,africa,sub_saharan_africa,25156,g77,lower_middle_income,TRUE,ST,ST,STP,678,NA,coastline,1,7,christian,TRUE,africa,sub_saharan_africa,-20791
bwa,2000,74934,g77,upper_middle_income,TRUE,BW,BW,BWA,72,NA,landlocked,-22,24,christian,Botswana,TRUE,africa,sub_saharan_africa,26688,g77,upper_middle_income,TRUE,BW,BW,BWA,72,NA,landlocked,-22,24,christian,TRUE,africa,sub_saharan_africa,48246
swz,2000,34084,g77,lower_middle_income,TRUE,SZ,SZ,SWZ,748,NA,landlocked,-26.5,31.5,christian,Swaziland,TRUE,africa,sub_saharan_africa,34118,g77,lower_middle_income,TRUE,SZ,SZ,SWZ,748,NA,landlocked,-26.5,31.5,christian,TRUE,africa,sub_saharan_africa,-34
lso,2000,6167,g77,lower_middle_income,TRUE,LS,LS,LSO,426,NA,landlocked,-29.5,28.25,christian,Lesotho,TRUE,africa,sub_saharan_africa,120575,g77,lower_middle_income,TRUE,LS,LS,LSO,426,NA,landlocked,-29.5,28.25,christian,TRUE,africa,sub_saharan_africa,-114408
nam,2000,135547,g77,upper_middle_income,TRUE,NA,NA,NAM,516,NA,coastline,-22,17,christian,Namibia,TRUE,africa,sub_saharan_africa,49354,g77,upper_middle_income,TRUE,NA,NA,NAM,516,NA,coastline,-22,17,christian,TRUE,africa,sub_saharan_africa,86193
zaf,2000,1016963,g77,upper_middle_income,TRUE,ZA,ZA,ZAF,710,NA,coastline,-29,24,christian,South Africa,TRUE,africa,sub_saharan_africa,501905,g77,upper_middle_income,TRUE,ZA,ZA,ZAF,710,NA,coastline,-29,24,christian,TRUE,africa,sub_saharan_africa,515058
ben,2000,134655,g77,low_income,TRUE,BJ,BJ,BEN,204,NA,coastline,9.5,2.25,NA,Benin,TRUE,africa,sub_saharan_africa,328047,g77,low_income,TRUE,BJ,BJ,BEN,204,NA,coastline,9.5,2.25,NA,TRUE,africa,sub_saharan_africa,-193392
bfa,2000,520363,g77,low_income,TRUE,BF,BF,BFA,854,NA,landlocked,12.5,-1.66667,muslim,Burkina Faso,TRUE,africa,sub_saharan_africa,1279415,g77,low_income,TRUE,BF,BF,BFA,854,NA,landlocked,12.5,-1.66667,muslim,TRUE,africa,sub_saharan_africa,-759052
cpv,2000,11027,g77,lower_middle_income,TRUE,CV,CV,CPV,132,NA,coastline,16,-24,christian,Cape Verde,TRUE,africa,sub_saharan_africa,124824,g77,lower_middle_income,TRUE,CV,CV,CPV,132,NA,coastline,16,-24,christian,TRUE,africa,sub_saharan_africa,-113797
civ,2000,2163644,g77,lower_middle_income,TRUE,CI,CI,CIV,384,NA,coastline,8,-5.5,NA,Cote d'Ivoire,TRUE,africa,sub_saharan_africa,539243,g77,lower_middle_income,TRUE,CI,CI,CIV,384,NA,coastline,8,-5.5,NA,TRUE,africa,sub_saharan_africa,1624401
gmb,2000,182514,g77,low_income,TRUE,GM,GM,GMB,270,NA,coastline,13.5,-15.5,muslim,Gambia,TRUE,africa,sub_saharan_africa,45429,g77,low_income,TRUE,GM,GM,GMB,270,NA,coastline,13.5,-15.5,muslim,TRUE,africa,sub_saharan_africa,137085
gha,2000,191601,g77,lower_middle_income,TRUE,GH,GH,GHA,288,NA,coastline,8.1,-1.2,christian,Ghana,TRUE,africa,sub_saharan_africa,495900,g77,lower_middle_income,TRUE,GH,GH,GHA,288,NA,coastline,8.1,-1.2,christian,TRUE,africa,sub_saharan_africa,-304299
gin,2000,560075,g77,low_income,TRUE,GN,GN,GIN,324,NA,coastline,10.83333,-10.66667,muslim,Guinea,TRUE,africa,sub_saharan_africa,377023,g77,low_income,TRUE,GN,GN,GIN,324,NA,coastline,10.83333,-10.66667,muslim,TRUE,africa,sub_saharan_africa,183052
gnb,2000,20450,g77,low_income,TRUE,GW,GW,GNB,624,NA,coastline,12,-15,NA,Guinea-Bissau,TRUE,africa,sub_saharan_africa,77666,g77,low_income,TRUE,GW,GW,GNB,624,NA,coastline,12,-15,NA,TRUE,africa,sub_saharan_africa,-57216
lbr,2000,151868,g77,low_income,TRUE,LR,LR,LBR,430,NA,coastline,6.5,-9.5,NA,Liberia,TRUE,africa,sub_saharan_africa,248417,g77,low_income,TRUE,LR,LR,LBR,430,NA,coastline,6.5,-9.5,NA,TRUE,africa,sub_saharan_africa,-96549
mli,2000,189475,g77,low_income,TRUE,ML,ML,MLI,466,NA,landlocked,18,-2,muslim,Mali,TRUE,africa,sub_saharan_africa,772954,g77,low_income,TRUE,ML,ML,MLI,466,NA,landlocked,18,-2,muslim,TRUE,africa,sub_saharan_africa,-583479
mrt,2000,57366,g77,lower_middle_income,TRUE,MR,MR,MRT,478,NA,coastline,20.25,-10.5,muslim,Mauritania,TRUE,africa,sub_saharan_africa,107608,g77,lower_middle_income,TRUE,MR,MR,MRT,478,NA,coastline,20.25,-10.5,muslim,TRUE,africa,sub_saharan_africa,-50242
ner,2000,122260,g77,low_income,TRUE,NE,NE,NER,562,NA,landlocked,18,9,muslim,Niger,TRUE,africa,sub_saharan_africa,205246,g77,low_income,TRUE,NE,NE,NER,562,NA,landlocked,18,9,muslim,TRUE,africa,sub_saharan_africa,-82986
nga,2000,487882,g77,lower_middle_income,TRUE,NG,NG,NGA,566,NA,coastline,10,8,NA,Nigeria,TRUE,africa,sub_saharan_africa,610200,g77,lower_middle_income,TRUE,NG,NG,NGA,566,NA,coastline,10,8,NA,TRUE,africa,sub_saharan_africa,-122318
shn,2000,108,others,NA,TRUE,SH,SH,SHN,654,NA,coastline,-15.95,-5.7,christian,St. Helena,FALSE,africa,sub_saharan_africa,4043,others,NA,TRUE,SH,SH,SHN,654,NA,coastline,-15.95,-5.7,christian,FALSE,africa,sub_saharan_africa,-3935
sen,2000,231901,g77,lower_middle_income,TRUE,SN,SN,SEN,686,NA,coastline,14.5,-14.25,muslim,Senegal,TRUE,africa,sub_saharan_africa,394614,g77,lower_middle_income,TRUE,SN,SN,SEN,686,NA,coastline,14.5,-14.25,muslim,TRUE,africa,sub_saharan_africa,-162713
sle,2000,97974,g77,low_income,TRUE,SL,SL,SLE,694,NA,coastline,8.5,-11.5,NA,Sierra Leone,TRUE,africa,sub_saharan_africa,509099,g77,low_income,TRUE,SL,SL,SLE,694,NA,coastline,8.5,-11.5,NA,TRUE,africa,sub_saharan_africa,-411125
tgo,2000,137968,g77,low_income,TRUE,TG,TG,TGO,768,NA,coastline,8.66667,1.08333,NA,Togo,TRUE,africa,sub_saharan_africa,267183,g77,low_income,TRUE,TG,TG,TGO,768,NA,coastline,8.66667,1.08333,NA,TRUE,africa,sub_saharan_africa,-129215
dza,2000,250110,g77,upper_middle_income,TRUE,DZ,DZ,DZA,12,NA,coastline,28,3,muslim,Algeria,TRUE,africa,middle_east_north_africa,1038048,g77,upper_middle_income,TRUE,DZ,DZ,DZA,12,NA,coastline,28,3,muslim,TRUE,africa,middle_east_north_africa,-787938
egy,2000,184774,g77,lower_middle_income,TRUE,EG,EG,EGY,818,NA,coastline,27,30,muslim,Egypt,TRUE,africa,middle_east_north_africa,1708513,g77,lower_middle_income,TRUE,EG,EG,EGY,818,NA,coastline,27,30,muslim,TRUE,africa,middle_east_north_africa,-1523739
lby,2000,567436,g77,upper_middle_income,TRUE,LY,LY,LBY,434,NA,coastline,28,17,muslim,Libya,TRUE,africa,middle_east_north_africa,80036,g77,upper_middle_income,TRUE,LY,LY,LBY,434,NA,coastline,28,17,muslim,TRUE,africa,middle_east_north_africa,487400
mar,2000,53034,g77,lower_middle_income,TRUE,MA,MA,MAR,504,NA,coastline,32,-6,muslim,Morocco,TRUE,africa,middle_east_north_africa,2077160,g77,lower_middle_income,TRUE,MA,MA,MAR,504,NA,coastline,32,-6,muslim,TRUE,africa,middle_east_north_africa,-2024126
sdn,2000,805086,g77,lower_middle_income,TRUE,SD,SD,SDN,729,NA,coastline,16,30,muslim,Sudan,TRUE,africa,sub_saharan_africa,885664,g77,lower_middle_income,TRUE,SD,SD,SDN,729,NA,coastline,16,30,muslim,TRUE,africa,sub_saharan_africa,-80578
tun,2000,36719,g77,upper_middle_income,TRUE,TN,TN,TUN,788,NA,coastline,34,9,muslim,Tunisia,TRUE,africa,middle_east_north_africa,486980,g77,upper_middle_income,TRUE,TN,TN,TUN,788,NA,coastline,34,9,muslim,TRUE,africa,middle_east_north_africa,-450261
esh,2000,3289,others,NA,TRUE,EH,EH,ESH,732,NA,coastline,24.49215,-12.65625,muslim,Western Sahara,FALSE,africa,middle_east_north_africa,166064,others,NA,TRUE,EH,EH,ESH,732,NA,coastline,24.49215,-12.65625,muslim,FALSE,africa,middle_east_north_africa,-162775
arm,2000,657900,others,lower_middle_income,TRUE,AM,AM,ARM,51,NA,landlocked,40.25,45,christian,Armenia,TRUE,europe,europe_central_asia,876470,others,lower_middle_income,TRUE,AM,AM,ARM,51,NA,landlocked,40.25,45,christian,TRUE,europe,europe_central_asia,-218570
aze,2000,327540,others,upper_middle_income,TRUE,AZ,AZ,AZE,31,NA,landlocked,40.5,47.5,muslim,Azerbaijan,TRUE,europe,europe_central_asia,1628482,others,upper_middle_income,TRUE,AZ,AZ,AZE,31,NA,landlocked,40.5,47.5,muslim,TRUE,europe,europe_central_asia,-1300942
bhr,2000,239361,g77,high_income,TRUE,BH,BH,BHR,48,NA,coastline,26.03333,50.55,muslim,Bahrain,TRUE,asia,middle_east_north_africa,47738,g77,high_income,TRUE,BH,BH,BHR,48,NA,coastline,26.03333,50.55,muslim,TRUE,asia,middle_east_north_africa,191623
cyp,2000,80076,others,high_income,TRUE,CY,CY,CYP,196,NA,coastline,35,33,christian,Cyprus,TRUE,europe,europe_central_asia,153573,others,high_income,TRUE,CY,CY,CYP,196,NA,coastline,35,33,christian,TRUE,europe,europe_central_asia,-73497
geo,2000,76117,others,lower_middle_income,TRUE,GE,GE,GEO,268,NA,coastline,41.99998,43.4999,christian,Georgia,TRUE,europe,europe_central_asia,967024,others,lower_middle_income,TRUE,GE,GE,GEO,268,NA,coastline,41.99998,43.4999,christian,TRUE,europe,europe_central_asia,-890907
irq,2000,210525,g77,upper_middle_income,TRUE,IQ,IQ,IRQ,368,NA,coastline,33,44,muslim,Iraq,TRUE,asia,middle_east_north_africa,1164056,g77,upper_middle_income,TRUE,IQ,IQ,IRQ,368,NA,coastline,33,44,muslim,TRUE,asia,middle_east_north_africa,-953531
isr,2000,1851309,oecd,high_income,TRUE,IL,IL,ISR,376,NA,coastline,31.5,34.75,NA,Israel,TRUE,asia,middle_east_north_africa,304861,oecd,high_income,TRUE,IL,IL,ISR,376,NA,coastline,31.5,34.75,NA,TRUE,asia,middle_east_north_africa,1546448
jor,2000,1927845,g77,upper_middle_income,TRUE,JO,JO,JOR,400,NA,coastline,31,36,muslim,Jordan,TRUE,asia,middle_east_north_africa,368562,g77,upper_middle_income,TRUE,JO,JO,JOR,400,NA,coastline,31,36,muslim,TRUE,asia,middle_east_north_africa,1559283
kwt,2000,1127640,g77,high_income,TRUE,KW,KW,KWT,414,NA,coastline,29.36972,47.97833,muslim,Kuwait,TRUE,asia,middle_east_north_africa,113446,g77,high_income,TRUE,KW,KW,KWT,414,NA,coastline,29.36972,47.97833,muslim,TRUE,asia,middle_east_north_africa,1014194
lbn,2000,692913,g77,upper_middle_income,TRUE,LB,LB,LBN,422,NA,coastline,33.83333,35.83333,NA,Lebanon,TRUE,asia,middle_east_north_africa,561102,g77,upper_middle_income,TRUE,LB,LB,LBN,422,NA,coastline,33.83333,35.83333,NA,TRUE,asia,middle_east_north_africa,131811
omn,2000,623608,g77,high_income,TRUE,OM,OM,OMN,512,NA,coastline,21,57,muslim,Oman,TRUE,asia,middle_east_north_africa,15628,g77,high_income,TRUE,OM,OM,OMN,512,NA,coastline,21,57,muslim,TRUE,asia,middle_east_north_africa,607980
qat,2000,359697,g77,high_income,TRUE,QA,QA,QAT,634,NA,coastline,25.27932,51.52245,muslim,Qatar,TRUE,asia,middle_east_north_africa,14706,g77,high_income,TRUE,QA,QA,QAT,634,NA,coastline,25.27932,51.52245,muslim,TRUE,asia,middle_east_north_africa,344991
